row,col,species,avg_depth_m,density,threat_level,behavior,trophic_level,prey_species
22,45,Abyssal_Ray,5933,0.436,2,roaming,2,
25,47,Abyssal_Ray,5839,0.373,2,roaming,2,
44,38,Abyssal_Ray,5049,0.551,2,roaming,2,
24,33,Abyssal_Ray,4459,0.808,2,roaming,2,
32,20,Abyssal_Ray,5464,0.497,2,roaming,2,
21,27,Abyssal_Ray,4265,0.379,2,roaming,2,
20,33,Abyssal_Ray,4357,0.397,2,roaming,2,
31,43,Abyssal_Ray,6049,0.457,2,roaming,2,
11,34,Abyssal_Ray,4387,0.496,2,roaming,2,
26,17,Abyssal_Ray,4850,0.595,2,roaming,2,
44,47,Abyssal_Ray,8240,0.568,2,roaming,2,
41,39,Abyssal_Ray,4705,0.709,2,roaming,2,
26,29,Abyssal_Ray,5471,0.51,2,roaming,2,
27,22,Abyssal_Ray,4206,0.584,2,roaming,2,
39,3,Abyssal_Ray,4453,0.725,2,roaming,2,
45,35,Abyssal_Ray,5855,0.532,2,roaming,2,
48,47,Abyssal_Ray,4289,0.197,2,roaming,2,
41,31,Abyssal_Ray,6457,0.482,2,roaming,2,
47,21,Abyssal_Ray,2671,0.503,2,roaming,2,
19,23,Abyssal_Ray,3589,0.384,2,roaming,2,
5,39,Abyssal_Ray,4991,0.305,2,roaming,2,
5,40,Abyssal_Ray,5691,0.329,2,roaming,2,
12,49,Abyssal_Ray,2839,0.731,2,roaming,2,
46,42,Abyssal_Ray,8334,0.603,2,roaming,2,
48,31,Abyssal_Ray,6746,0.314,2,roaming,2,
23,28,Abyssal_Ray,5191,0.452,2,roaming,2,
19,28,Abyssal_Ray,4922,0.164,2,roaming,2,
20,10,Abyssal_Ray,3228,0.474,2,roaming,2,
28,20,Abyssal_Ray,5166,0.29,2,roaming,2,
46,41,Abyssal_Ray,3429,0.683,2,roaming,2,
10,46,Abyssal_Ray,3089,0.747,2,roaming,2,
38,11,Abyssal_Ray,3112,0.756,2,roaming,2,
49,25,Abyssal_Ray,6384,0.361,2,roaming,2,
45,4,Abyssal_Ray,3192,0.309,2,roaming,2,
46,5,Abyssal_Ray,4320,0.463,2,roaming,2,
45,27,Abyssal_Ray,4477,0.459,2,roaming,2,
33,37,Abyssal_Ray,5163,0.214,2,roaming,2,
25,23,Abyssal_Ray,4916,0.399,2,roaming,2,
45,15,Abyssal_Ray,3622,0.476,2,roaming,2,
40,7,Abyssal_Ray,2823,0.29,2,roaming,2,
19,29,Abyssal_Ray,3211,0.361,2,roaming,2,
27,35,Abyssal_Ray,6280,0.538,2,roaming,2,
29,46,Abyssal_Ray,3566,0.534,2,roaming,2,
38,33,Abyssal_Ray,6839,0.65,2,roaming,2,
22,36,Abyssal_Ray,4545,0.22,2,roaming,2,
46,31,Abyssal_Ray,4363,0.513,2,roaming,2,
46,11,Abyssal_Ray,3244,0.595,2,roaming,2,
31,47,Abyssal_Ray,4860,0.737,2,roaming,2,
24,37,Abyssal_Ray,4497,0.442,2,roaming,2,
31,34,Abyssal_Ray,3635,0.477,2,roaming,2,
44,34,Abyssal_Ray,6083,0.44,2,roaming,2,
40,37,Abyssal_Ray,3700,0.499,2,roaming,2,
48,41,Abyssal_Ray,8826,0.661,2,roaming,2,
34,40,Abyssal_Ray,6172,0.636,2,roaming,2,
35,44,Abyssal_Ray,7584,0.381,2,roaming,2,
26,20,Abyssal_Ray,2967,0.486,2,roaming,2,
40,30,Abyssal_Ray,4669,0.438,2,roaming,2,
49,8,Abyssal_Ray,2513,0.431,2,roaming,2,
24,34,Abyssal_Ray,4826,0.58,2,roaming,2,
12,46,Abyssal_Ray,4225,0.443,2,roaming,2,
3,48,Abyssal_Ray,4471,0.585,2,roaming,2,
19,34,Abyssal_Ray,3789,0.448,2,roaming,2,
45,10,Abyssal_Ray,2692,0.418,2,roaming,2,
20,25,Abyssal_Ray,4616,0.48,2,roaming,2,
20,37,Abyssal_Ray,4571,0.839,2,roaming,2,
21,23,Abyssal_Ray,3566,0.366,2,roaming,2,
34,19,Abyssal_Ray,5777,0.397,2,roaming,2,
49,33,Abyssal_Ray,7650,0.263,2,roaming,2,
40,25,Abyssal_Ray,3960,0.413,2,roaming,2,
34,36,Abyssal_Ray,5609,0.239,2,roaming,2,
26,41,Abyssal_Ray,5654,0.243,2,roaming,2,
3,45,Abyssal_Ray,3085,0.551,2,roaming,2,
12,44,Abyssal_Ray,4406,0.604,2,roaming,2,
46,32,Abyssal_Ray,5576,0.772,2,roaming,2,
43,10,Abyssal_Ray,5508,0.371,2,roaming,2,
36,28,Abyssal_Ray,5444,0.365,2,roaming,2,
10,49,Abyssal_Ray,5398,0.671,2,roaming,2,
20,38,Abyssal_Ray,5239,0.511,2,roaming,2,
33,33,Abyssal_Ray,3591,0.375,2,roaming,2,
5,44,Abyssal_Ray,3335,0.609,2,roaming,2,
48,29,Abyssal_Ray,6643,0.494,2,roaming,2,
49,42,Abyssal_Ray,6798,0.489,2,roaming,2,
31,27,Abyssal_Ray,6121,0.721,2,roaming,2,
4,49,Abyssal_Ray,3528,0.562,2,roaming,2,
23,27,Abyssal_Ray,3814,0.567,2,roaming,2,
22,28,Abyssal_Ray,5478,0.608,2,roaming,2,
41,22,Abyssal_Ray,3694,0.486,2,roaming,2,
39,11,Abyssal_Ray,5472,0.605,2,roaming,2,
44,26,Abyssal_Ray,4051,0.73,2,roaming,2,
38,36,Abyssal_Ray,4345,0.489,2,roaming,2,
26,21,Abyssal_Ray,2737,0.546,2,roaming,2,
33,48,Abyssal_Ray,8339,0.378,2,roaming,2,
35,35,Abyssal_Ray,6071,0.402,2,roaming,2,
44,18,Abyssal_Ray,2880,0.466,2,roaming,2,
21,44,Abyssal_Ray,4464,0.476,2,roaming,2,
47,25,Abyssal_Ray,3916,0.278,2,roaming,2,
38,40,Abyssal_Ray,7318,0.742,2,roaming,2,
30,15,Abyssal_Ray,3760,0.615,2,roaming,2,
47,36,Abyssal_Ray,7071,0.531,2,roaming,2,
30,36,Abyssal_Ray,4486,0.371,2,roaming,2,
35,42,Abyssal_Ray,3619,0.542,2,roaming,2,
47,1,Abyssal_Ray,4084,0.453,2,roaming,2,
36,43,Abyssal_Ray,6898,0.579,2,roaming,2,
13,48,Abyssal_Ray,3649,0.331,2,roaming,2,
46,24,Abyssal_Ray,4811,0.681,2,roaming,2,
35,14,Abyssal_Ray,5257,0.19,2,roaming,2,
35,7,Abyssal_Ray,4589,0.474,2,roaming,2,
23,45,Abyssal_Ray,6234,0.669,2,roaming,2,
24,31,Abyssal_Ray,3492,0.863,2,roaming,2,
28,13,Abyssal_Ray,3482,0.37,2,roaming,2,
48,20,Abyssal_Ray,4619,0.472,2,roaming,2,
27,48,Abyssal_Ray,4178,0.332,2,roaming,2,
33,14,Abyssal_Ray,4780,0.405,2,roaming,2,
31,40,Abyssal_Ray,4649,0.524,2,roaming,2,
47,26,Abyssal_Ray,3820,0.307,2,roaming,2,
36,22,Abyssal_Ray,2814,0.715,2,roaming,2,
15,36,Abyssal_Ray,2523,0.431,2,roaming,2,
38,44,Abyssal_Ray,3560,0.575,2,roaming,2,
1,46,Abyssal_Ray,4309,0.73,2,roaming,2,
45,33,Abyssal_Ray,7668,0.324,2,roaming,2,
17,37,Abyssal_Ray,2673,0.59,2,roaming,2,
42,44,Crimson_Jelly,4741,0.161,3,swarm,3,"Glass_Squid, Blue_Siphonophore"
41,42,Crimson_Jelly,7888,0.327,3,swarm,3,"Glass_Squid, Blue_Siphonophore"
37,44,Crimson_Jelly,7362,0.321,3,swarm,3,"Glass_Squid, Blue_Siphonophore"
41,43,Crimson_Jelly,7487,0.05,3,swarm,3,"Glass_Squid, Blue_Siphonophore"
40,42,Crimson_Jelly,8128,0.444,3,swarm,3,"Glass_Squid, Blue_Siphonophore"
41,23,Giant_Isopod,4953,0.216,3,scavenger,3,"Abyssal_Plant, Biogenic_Sediment"
6,7,Giant_Isopod,1678,0.05,3,scavenger,3,"Abyssal_Plant, Biogenic_Sediment"
