row,col,type,family,abundance,purity,extraction_difficulty,environmental_impact,economic_value,description
25,29,Nickel_Rich_Nodule,Manganese_Nodule,0.639,0.767,0.594,0.463,47001,
34,46,Nickel_Rich_Nodule,Manganese_Nodule,0.63,0.898,0.505,0.427,52711,
37,42,Nickel_Rich_Nodule,Manganese_Nodule,0.601,0.885,0.507,0.506,49818,
19,47,Nickel_Rich_Nodule,Manganese_Nodule,0.404,0.837,0.498,0.486,32700,
41,24,Nickel_Rich_Nodule,Manganese_Nodule,0.497,0.81,0.479,0.475,39991,
11,35,Nickel_Rich_Nodule,Manganese_Nodule,0.752,0.72,0.515,0.523,55996,
29,40,Nickel_Rich_Nodule,Manganese_Nodule,0.792,0.84,0.559,0.604,62184,
15,39,Nickel_Rich_Nodule,Manganese_Nodule,0.819,0.759,0.597,0.423,59897,
44,38,Nickel_Rich_Nodule,Manganese_Nodule,0.469,0.894,0.566,0.567,37882,
5,39,Nickel_Rich_Nodule,Manganese_Nodule,0.521,0.714,0.534,0.477,38271,
32,30,Nickel_Rich_Nodule,Manganese_Nodule,0.667,0.819,0.571,0.486,51364,
45,38,Nickel_Rich_Nodule,Manganese_Nodule,0.942,0.899,0.561,0.492,76529,
42,17,Nickel_Rich_Nodule,Manganese_Nodule,0.98,0.772,0.467,0.472,77385,
35,23,Nickel_Rich_Nodule,Manganese_Nodule,0.469,0.788,0.577,0.458,35263,
43,38,Nickel_Rich_Nodule,Manganese_Nodule,0.443,0.902,0.553,0.536,36173,
49,16,Nickel_Rich_Nodule,Manganese_Nodule,0.331,0.812,0.506,0.45,26299,
34,32,Nickel_Rich_Nodule,Manganese_Nodule,0.704,0.829,0.55,0.392,55161,
13,34,Nickel_Rich_Nodule,Manganese_Nodule,0.305,0.713,0.537,0.497,22379,
47,14,Nickel_Rich_Nodule,Manganese_Nodule,0.682,0.788,0.476,0.483,54137,
4,48,Nickel_Rich_Nodule,Manganese_Nodule,0.687,0.743,0.481,0.457,52905,
20,37,Nickel_Rich_Nodule,Manganese_Nodule,0.903,0.776,0.497,0.546,70390,
35,24,Nickel_Rich_Nodule,Manganese_Nodule,0.437,0.781,0.549,0.491,33263,
33,45,Nickel_Rich_Nodule,Manganese_Nodule,0.207,0.872,0.593,0.546,16272,
29,38,Nickel_Rich_Nodule,Manganese_Nodule,0.344,0.84,0.595,0.473,26490,
38,24,Nickel_Rich_Nodule,Manganese_Nodule,0.541,0.787,0.599,0.431,40233,
16,44,Nickel_Rich_Nodule,Manganese_Nodule,0.433,0.79,0.502,0.519,34009,
44,17,Nickel_Rich_Nodule,Manganese_Nodule,0.5,0.805,0.469,0.544,40331,
21,39,Nickel_Rich_Nodule,Manganese_Nodule,0.748,0.724,0.424,0.458,58585,
38,38,Nickel_Rich_Nodule,Manganese_Nodule,0.509,0.872,0.497,0.477,42146,
28,29,Nickel_Rich_Nodule,Manganese_Nodule,0.519,0.789,0.553,0.574,39633,
7,42,Nickel_Rich_Nodule,Manganese_Nodule,0.638,0.737,0.525,0.417,47838,
36,41,Nickel_Rich_Nodule,Manganese_Nodule,0.469,0.878,0.545,0.477,37959,
41,21,Nickel_Rich_Nodule,Manganese_Nodule,0.685,0.801,0.573,0.59,52082,
38,25,Nickel_Rich_Nodule,Manganese_Nodule,0.757,0.793,0.589,0.495,56824,
45,7,Nickel_Rich_Nodule,Manganese_Nodule,0.43,0.743,0.573,0.571,31505,
26,27,Nickel_Rich_Nodule,Manganese_Nodule,0.541,0.828,0.429,0.429,45103,
25,41,Nickel_Rich_Nodule,Manganese_Nodule,0.672,0.827,0.573,0.438,51907,
16,32,Nickel_Rich_Nodule,Manganese_Nodule,0.732,0.722,0.573,0.48,52892,
35,8,Nickel_Rich_Nodule,Manganese_Nodule,0.539,0.712,0.599,0.363,38147,
35,34,Nickel_Rich_Nodule,Manganese_Nodule,0.816,0.831,0.575,0.441,63122,
23,36,Nickel_Rich_Nodule,Manganese_Nodule,0.456,0.792,0.534,0.51,35177,
26,34,Nickel_Rich_Nodule,Manganese_Nodule,0.571,0.807,0.596,0.615,43005,
34,33,Nickel_Rich_Nodule,Manganese_Nodule,0.255,0.833,0.582,0.481,19686,
22,41,Nickel_Rich_Nodule,Manganese_Nodule,0.757,0.795,0.465,0.478,60779,
30,27,Nickel_Rich_Nodule,Manganese_Nodule,0.599,0.774,0.402,0.629,49025,
37,13,Nickel_Rich_Nodule,Manganese_Nodule,0.613,0.817,0.594,0.57,46571,
9,43,Nickel_Rich_Nodule,Manganese_Nodule,0.73,0.761,0.491,0.537,56559,
39,27,Nickel_Rich_Nodule,Manganese_Nodule,0.56,0.833,0.587,0.419,43121,
5,38,Nickel_Rich_Nodule,Manganese_Nodule,0.818,0.703,0.598,0.528,57571,
